rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1553642458524155036,,24028,,1553642458,523999783,'',"[-0.0, -0.0, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458532077389,,24029,,1553642458,531993702,'',"[-0.0, -0.042714670300483704, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458543154346,,24030,,1553642458,543007383,'',"[-0.0, -0.0634351298213005, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458548178186,,24031,,1553642458,548026534,'',"[-0.0, -0.08829968422651291, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458551033618,,24032,,1553642458,550955441,'',"[-0.0, -0.10487605631351471, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458596145336,,24033,,1553642458,596011691,'',"[-0.0, -0.12145242094993591, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458775128083,,24034,,1553642458,774965045,'',"[-0.0, -0.1380288004875183, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458788143754,,24035,,1553642458,788041150,'',"[-0.0, -0.15460516512393951, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458791130870,,24036,,1553642458,791059361,'',"[-0.0, -0.17532561719417572, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458799236692,,24037,,1553642458,799036547,'',"[-0.0, -0.19190199673175812, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458804181276,,24038,,1553642458,803988271,'',"[-0.0, -0.20847836136817932, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553642458820023947,,24039,,1553642458,819962899,'',"[-0.0, -0.22505472600460052, 0.06327451020479202, -0.040273189544677734, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
