rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1556556199615475309,,1260,,1556556199,615345781,'',"[-0.0, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556199855445423,,1261,,1556556199,855351188,'',"[-0.0, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556199863444276,,1262,,1556556199,863338459,'',"[0.012196159921586514, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556199871354253,,1263,,1556556199,871290754,'',"[0.024050191044807434, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556199874463679,,1264,,1556556199,874349822,'',"[0.03590422496199608, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556199882505017,,1265,,1556556199,882380187,'',"[0.047758255153894424, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556199911388298,,1266,,1556556199,911313551,'',"[0.06356362998485565, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556199938530245,,1267,,1556556199,938443800,'',"[0.075417660176754, -0.0, 0.07483941316604614, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556203311454065,,1268,,1556556203,311338289,'',"[0.075417660176754, -0.0, 0.07483941316604614, -0.056335560977458954, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556213375619411,,1269,,1556556213,375427867,'',"[0.075417660176754, -0.0, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219610425948,,1270,,1556556219,610329959,'',"[0.075417660176754, -0.013706022873520851, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219618440825,,1271,,1556556219,618375888,'',"[0.075417660176754, -0.0675792247056961, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219626488770,,1272,,1556556219,626367793,'',"[0.075417660176754, -0.12145242094993591, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219674519975,,1273,,1556556219,674390879,'',"[0.075417660176754, -0.18361380696296692, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219682476730,,1274,,1556556219,682338309,'',"[0.075417660176754, -0.22919882833957672, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219690385063,,1275,,1556556219,690308240,'',"[0.075417660176754, -0.27892792224884033, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219698458248,,1276,,1556556219,698376221,'',"[0.075417660176754, -0.29550430178642273, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219706461796,,1277,,1556556219,706334468,'',"[0.075417660176754, -0.33694523572921753, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219711422897,,1278,,1556556219,711352253,'',"[0.075417660176754, -0.35766568779945374, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219722561737,,1279,,1556556219,722441082,'',"[0.075417660176754, -0.37838613986968994, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219730463477,,1280,,1556556219,730365506,'',"[0.075417660176754, -0.39496251940727234, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219738463849,,1281,,1556556219,738353941,'',"[0.075417660176754, -0.42811524868011475, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219746546992,,1282,,1556556219,746463462,'',"[0.075417660176754, -0.5151411890983582, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219759506815,,1283,,1556556219,759378625,'',"[0.075417660176754, -0.5690143704414368, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219762470653,,1284,,1556556219,762328630,'',"[0.075417660176754, -0.5897348523139954, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219770440317,,1285,,1556556219,770354652,'',"[0.075417660176754, -0.672616720199585, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219778448301,,1286,,1556556219,778334882,'',"[0.075417660176754, -0.7389221787452698, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219786435347,,1287,,1556556219,786323567,'',"[0.075417660176754, -0.7596426606178284, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219794463551,,1288,,1556556219,794370583,'',"[0.075417660176754, -0.830092191696167, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219802535253,,1289,,1556556219,802418067,'',"[0.075417660176754, -0.8466686010360718, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219807533346,,1290,,1556556219,807447361,'',"[0.075417660176754, -0.8673890233039856, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219810420101,,1291,,1556556219,810304935,'',"[0.075417660176754, -0.8881095051765442, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219818559371,,1292,,1556556219,818387025,'',"[0.075417660176754, -0.9254063367843628, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219842614643,,1293,,1556556219,842444091,'',"[0.075417660176754, -0.9419826865196228, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219898511477,,1294,,1556556219,898402748,'',"[0.075417660176754, -0.8798213005065918, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219914536742,,1295,,1556556219,914373535,'',"[0.075417660176754, -0.8466686010360718, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219919599639,,1296,,1556556219,919428498,'',"[0.075417660176754, -0.830092191696167, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219922488101,,1297,,1556556219,922412425,'',"[0.075417660176754, -0.813515841960907, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219930384002,,1298,,1556556219,930316040,'',"[0.075417660176754, -0.7927953600883484, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556219946591629,,1299,,1556556219,946428841,'',"[0.075417660176754, -0.7803630828857422, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220039441061,,1300,,1556556220,39372507,'',"[0.075417660176754, -0.767930805683136, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220050420948,,1301,,1556556220,50363266,'',"[0.075417660176754, -0.7472103834152222, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220058498110,,1302,,1556556220,58359677,'',"[0.075417660176754, -0.7264899015426636, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220074532631,,1303,,1556556220,74358490,'',"[0.075417660176754, -0.7099135518074036, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220082517765,,1304,,1556556220,82401523,'',"[0.075417660176754, -0.6974812746047974, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220106610437,,1305,,1556556220,106464373,'',"[0.075417660176754, -0.6850489974021912, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220122567061,,1306,,1556556220,122466860,'',"[0.075417660176754, -0.6684725880622864, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1556556220135507774,,1307,,1556556220,135398878,'',"[0.075417660176754, -0.6560403108596802, 0.07483941316604614, -0.04428878054022789, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
