rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1553468238157970902,,1118,,1553468238,157808530,'',"[-0.0, -0.5234293937683105, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238173991769,,1119,,1553468238,173879031,'',"[-0.0, -0.5400057435035706, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238218943571,,1120,,1553468238,218847829,'',"[-0.0, -0.5400057435035706, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238226925654,,1121,,1553468238,226809586,'',"[-0.0, -0.49027663469314575, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238229877126,,1122,,1553468238,229782199,'',"[-0.0, -0.42811524868011475, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238237910643,,1123,,1553468238,237815040,'',"[-0.0, -0.37009796500205994, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238242849695,,1124,,1553468238,242771944,'',"[-0.0, -0.30793657898902893, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238245897887,,1125,,1553468238,245765405,'',"[-0.0, -0.2582074701786041, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238250895685,,1126,,1553468238,250799295,'',"[-0.0, -0.20433427393436432, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238253874592,,1127,,1553468238,253794602,'',"[-0.0, -0.18361380696296692, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238258938491,,1128,,1553468238,258777294,'',"[-0.0, -0.11316423863172531, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238278034041,,1129,,1553468238,277822103,'',"[-0.0, -0.08001150190830231, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238286078307,,1130,,1553468238,285884124,'',"[-0.0, -0.059291038662195206, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238294029780,,1131,,1553468238,293878181,'',"[-0.0, -0.046858761459589005, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238301980111,,1132,,1553468238,301819962,'',"[-0.0, -0.030282393097877502, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238426984493,,1133,,1553468238,426890179,'',"[-0.0, -0.055146947503089905, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238429895879,,1134,,1553468238,429800396,'',"[-0.0, -0.07586740702390671, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238434861578,,1135,,1553468238,434770970,'',"[-0.0, -0.09658786654472351, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238461972022,,1136,,1553468238,461816793,'',"[-0.0, -0.11316423863172531, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238579095051,,1137,,1553468238,578916600,'',"[-0.0, -0.1297406107187271, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238582116948,,1138,,1553468238,581959355,'',"[-0.0, -0.1504610776901245, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238587056867,,1139,,1553468238,586928327,'',"[-0.0, -0.21262244880199432, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238598037748,,1140,,1553468238,597860999,'',"[-0.0, -0.27892792224884033, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238605960229,,1141,,1553468238,605826594,'',"[-0.0, -0.34108930826187134, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238613980368,,1142,,1553468238,613809287,'',"[-0.0, -0.39496251940727234, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238622020064,,1143,,1553468238,621850491,'',"[-0.0, -0.41153889894485474, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553468238630081728,,1144,,1553468238,629862253,'',"[-0.0, -0.42811524868011475, 0.08640432357788086, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
