rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1553641515892183204,,6431,,1553641515,891936165,'',"[-0.0, -0.001273746252991259, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641515895070059,,6432,,1553641515,894916410,'',"[-0.0, -0.0178501158952713, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641515908159841,,6433,,1553641515,907990121,'',"[-0.0, -0.0344264842569828, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641515911151938,,6434,,1553641515,910986306,'',"[-0.0, -0.09658786654472351, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641515980648932,,6435,,1553641515,980242999,'',"[-0.0, -0.11316423863172531, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641516175036789,,6436,,1553641516,174906335,'',"[-0.0, -0.1297406107187271, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641516262966524,,6437,,1553641516,262872402,'',"[-0.0, -0.21262244880199432, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641516271091965,,6438,,1553641516,270965001,'',"[-0.0, -0.27892792224884033, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641516278977965,,6439,,1553641516,278888169,'',"[-0.0, -0.35352158546447754, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1553641516292084524,,6440,,1553641516,291923413,'',"[-0.0, -0.42397117614746094, 0.04399966076016426, -0.0523199699819088, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
